position	DE_source	comparison	vs_mm	vs_gg_e	vs_gg_l	vs_am_e	vs_am_l
d1_d2	am_e	random	0.014079302	0.137664694	0.272698427	NA	NA
d1_d2	am_e	orthologs	0.396318726	0.537049589	0.641599433	NA	NA
d1_d2	am_l	random	0.257378932	-0.232402482	-0.538031725	NA	NA
d1_d2	am_l	orthologs	0.296833996	0.527445686	0.640104985	NA	NA
d2_d3	am_e	random	0.140333344	0.314528981	-0.405803223	NA	NA
d2_d3	am_e	orthologs	-0.078010092	0.712982416	0.302434922	NA	NA
d2_d3	am_l	random	-0.55967162	-0.67694872	0.01230854	NA	NA
d2_d3	am_l	orthologs	0.065119278	0.564283805	0.316032548	NA	NA
d3_d4	am_e	random	-0.256695235	-0.250506684	-0.007913945	NA	NA
d3_d4	am_e	orthologs	0.228049636	0.079341436	0.229650311	NA	NA
d3_d4	am_l	random	0.200185207	0.042947228	0.186925371	NA	NA
d3_d4	am_l	orthologs	0.277638986	0.171184783	0.404926663	NA	NA
d4_d5	am_e	random	0.060514571	-0.18291476	0.274885991	NA	NA
d4_d5	am_e	orthologs	0.126213869	0.11340908	0.040237252	NA	NA
d4_d5	am_l	random	0.129930465	0.119441704	-0.020472458	NA	NA
d4_d5	am_l	orthologs	0.143715677	0.166643183	0.010881369	NA	NA
d1_d2	gg_e	random	-0.019812031	NA	NA	-0.179167083	0.028351343
d1_d2	gg_e	orthologs	0.655668343	NA	NA	0.544826282	0.03798815
d1_d2	gg_l	random	-0.171277155	NA	NA	-0.322695368	-0.044562398
d1_d2	gg_l	orthologs	0.680090124	NA	NA	0.552668458	0.128051907
d2_d3	gg_e	random	-0.067613143	NA	NA	0.147396306	0.215496278
d2_d3	gg_e	orthologs	0.472390598	NA	NA	0.653395531	0.484693344
d2_d3	gg_l	random	0.32336435	NA	NA	-0.436401861	0.326637089
d2_d3	gg_l	orthologs	0.515809002	NA	NA	0.478655601	0.306116405
d3_d4	gg_e	random	0.203771976	NA	NA	-0.441383859	0.147045529
d3_d4	gg_e	orthologs	-0.382119574	NA	NA	-0.063320933	0.241788923
d3_d4	gg_l	random	-0.324865761	NA	NA	0.259230412	0.102047227
d3_d4	gg_l	orthologs	-0.46095918	NA	NA	-0.008632995	0.376562659
d1_d2	mm	random	1	0.070035575	0.054211335	0.122561328	-0.029371449
d1_d2	mm	orthologs	1	0.45416373	0.339695746	-0.039266779	0.051150261
d2_d3	mm	random	1	-0.238553997	-0.224088266	0.873952159	0.542322785
d2_d3	mm	orthologs	1	-0.084358385	-0.6036786	0.536355725	0.534625544
d3_d4	mm	random	1	0.454080629	0.720246635	0.195539623	-0.551811693
d3_d4	mm	orthologs	1	0.710590302	0.626988351	0.112674006	0.146463043
d4_d5	mm	random	1	-0.131202146	-0.068573707	0.060897915	0.02445037
d4_d5	mm	orthologs	1	0.504437938	0.500467986	0.206586261	0.276479955
