position	DE_source	comparison	vs_mm	vs_ac	vs_am_e	vs_am_l
d1_d2	am_e	random	0.068637959	-0.349639481	NA	NA
d1_d2	am_e	orthologs	0.425190559	0.146169242	NA	NA
d1_d2	am_l	random	0.276359241	0.329116455	NA	NA
d1_d2	am_l	orthologs	0.318652591	0.200909856	NA	NA
d2_d3	am_e	random	0.095958229	-0.875998428	NA	NA
d2_d3	am_e	orthologs	-0.06480756	0.140638945	NA	NA
d2_d3	am_l	random	0.684987208	0.496098372	NA	NA
d2_d3	am_l	orthologs	0.069699154	0.003252724	NA	NA
d3_d4	am_e	random	0.028607521	0.067023967	NA	NA
d3_d4	am_e	orthologs	0.258814137	0.084123971	NA	NA
d3_d4	am_l	random	-0.172477404	0.193487231	NA	NA
d3_d4	am_l	orthologs	0.319330393	0.032059464	NA	NA
d4_d5	am_e	random	0.051877945	0.200396249	NA	NA
d4_d5	am_e	orthologs	0.209448523	0.203047306	NA	NA
d4_d5	am_l	random	-0.02692645	-0.078159129	NA	NA
d4_d5	am_l	orthologs	0.212773954	0.258663887	NA	NA
d1_d2	ac	random	0.177591522	NA	0.290562989	-0.17276161
d1_d2	ac	orthologs	0.855548273	NA	0.908938564	0.852949495
d2_d3	ac	random	-0.24090484	NA	0.167261663	-0.502792107
d2_d3	ac	orthologs	0.436779985	NA	0.954185562	-0.740780255
d3_d4	ac	random	NA	NA	NA	NA
d3_d4	ac	orthologs	NA	NA	NA	NA
d4_d5	ac	random	-0.040077306	NA	-0.567257111	0.982653072
d4_d5	ac	orthologs	0.345895377	NA	0.808584492	0.086717564
d1_d2	mm	random	NA	0.140275302	0.060806518	-0.107672634
d1_d2	mm	orthologs	NA	0.128370173	0.053333635	0.109181308
d4_d5	mm	random	NA	0.282805571	0.090575111	0.254817928
d4_d5	mm	orthologs	NA	0.045289942	0.352159913	0.537684154
d3_d4	mm	random	NA	-0.31982628	-0.493756343	0.260978092
d3_d4	mm	orthologs	NA	0.08456095	-0.01800435	-0.070192594
d2_d3	mm	random	NA	0.157048456	-0.248616524	-0.119358876
d2_d3	mm	orthologs	NA	-0.219624022	-0.103942194	-0.694223265
