hs_gene_id	mm_gene_id	mm_homol	ac_gene_id	ac_homol	gene_symbol
ENSG00000133997	ENSMUSG00000002679	ortholog_one2one	ENSACAG00000004951	ortholog_one2one	MED6
ENSG00000278570	ENSMUSG00000032292	ortholog_one2one	ENSACAG00000011910	ortholog_one2one	NR2E3
ENSG00000177485	ENSMUSG00000048047	ortholog_one2one	ENSACAG00000003737	ortholog_one2one	ZBTB33
ENSG00000108840	ENSMUSG00000008855	ortholog_one2one	ENSACAG00000004207	ortholog_one2one	HDAC5
ENSG00000175221	ENSMUSG00000013833	ortholog_one2one			MED16
ENSG00000282092					MED16
ENSG00000167670	ENSMUSG00000002835	ortholog_one2one	ENSACAG00000001290	ortholog_one2one	CHAF1A
ENSG00000100281	ENSMUSG00000034518	ortholog_one2one	ENSACAG00000016748	ortholog_one2one	HMGXB4
ENSG00000025434	ENSMUSG00000002108	ortholog_one2one	ENSACAG00000002940	ortholog_one2one	NR1H3
ENSG00000102103	ENSMUSG00000031157	ortholog_one2one	ENSACAG00000007728	ortholog_one2one	PQBP1
ENSG00000138073	ENSMUSG00000045302	ortholog_one2one	ENSACAG00000012972	ortholog_one2one	PREB
ENSG00000006194	ENSMUSG00000022529	ortholog_one2one	ENSACAG00000023620	ortholog_many2many	ZNF263
ENSG00000006194	ENSMUSG00000022529	ortholog_one2one	ENSACAG00000022389	ortholog_many2many	ZNF263
ENSG00000006194	ENSMUSG00000022529	ortholog_one2one	ENSACAG00000004271	ortholog_many2many	ZNF263
ENSG00000006194	ENSMUSG00000022529	ortholog_one2one	ENSACAG00000025867	ortholog_many2many	ZNF263
ENSG00000015153	ENSMUSG00000022634	ortholog_one2one	ENSACAG00000003204	ortholog_one2one	YAF2
ENSG00000141232	ENSMUSG00000037573	ortholog_one2one	ENSACAG00000001698	ortholog_one2one	TOB1
ENSG00000064607	ENSMUSG00000036054	ortholog_one2one	ENSACAG00000023758	ortholog_one2one	SUGP2
ENSG00000115816	ENSMUSG00000024081	ortholog_one2one	ENSACAG00000001411	ortholog_one2one	CEBPZ
ENSG00000130726	ENSMUSG00000005566	ortholog_one2one	ENSACAG00000010694	ortholog_one2one	TRIM28
ENSG00000281709					ZNF197
ENSG00000186448			ENSACAG00000003802	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000025459	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000004237	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000003835	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000010386	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000027129	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000023721	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000023940	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000025291	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000014018	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000012005	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000005094	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000025636	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000006158	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000025016	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000011401	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000012859	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000010220	ortholog_many2many	ZNF197
ENSG00000186448			ENSACAG00000010529	ortholog_many2many	ZNF197
ENSG00000152454					ZNF256
ENSG00000076053	ENSMUSG00000042396	ortholog_one2many	ENSACAG00000011589	ortholog_one2many	RBM7
ENSG00000183684	ENSMUSG00000097878	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000093795	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000095022	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000025134	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000091779	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000097427	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000097550	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000095161	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000094144	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000091101	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000096744	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000094228	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000060244	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000096640	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000090854	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000094314	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000095673	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000183684	ENSMUSG00000090987	ortholog_one2many	ENSACAG00000010526	ortholog_one2one	ALYREF
ENSG00000179981	ENSMUSG00000046982	ortholog_one2one	ENSACAG00000005329	ortholog_one2one	TSHZ1
ENSG00000197579	ENSMUSG00000036822	ortholog_one2one	ENSACAG00000001351	ortholog_one2many	TOPORS
ENSG00000197579	ENSMUSG00000036822	ortholog_one2one	ENSACAG00000022828	ortholog_one2many	TOPORS
ENSG00000165584	ENSMUSG00000068218	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000079702	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000079701	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000068219	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000079704	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000062814	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000035371	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000095316	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000023165	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000079705	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000079697	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000071816	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000079699	ortholog_many2many			SSX3
ENSG00000165584	ENSMUSG00000079703	ortholog_many2many			SSX3
ENSG00000205927	ENSMUSG00000039830	ortholog_one2one			OLIG2
ENSG00000144677	ENSMUSG00000047409	ortholog_one2one	ENSACAG00000005539	ortholog_one2one	CTDSPL
ENSG00000180855			ENSACAG00000023000	ortholog_one2many	ZNF443
ENSG00000282958					HNRNPR
ENSG00000125944	ENSMUSG00000066037	ortholog_one2one	ENSACAG00000017593	ortholog_one2one	HNRNPR
