am_gene_id	transcript_id	protein_id	gene_symbol	gene_name	
AMISG000001	AMIST000001	AMISP000001	AMISG000001	AMISG000001 uncharacterized protein	
AMISG000002	AMIST000002	AMISP000002	AMISG000002	AMISG000002 uncharacterized protein	
AMISG000003	AMIST000003|AMIST000004	AMISP000003|AMISP000004	AMISG000003	AMISG000003 uncharacterized protein	
AMISG000004	AMIST000005|AMIST000006	AMISP000005|AMISP000006	AMISG000004	AMISG000004 uncharacterized protein	
AMISG000005	AMIST000007	AMISP000007	AMISG000005	AMISG000005 uncharacterized protein	
AMISG000006	AMIST000008	AMISP000008	MUSTN1	musculoskeletal	
AMISG000007	AMIST000009|AMIST000010	AMISP000009|AMISP000010	TMEM110	transmembrane protein 110	
AMISG000008	AMIST000011|AMIST000012|AMIST000013|AMIST000014	AMISP000011|AMISP000012|AMISP000013|AMISP000014	SFMBT1	Scm-like with four mbt domains 1	
AMISG000009	AMIST000015	AMISP000015	EIF5	eukaryotic translation initiation factor 5	
AMISG000010	AMIST000016	AMISP000016	AMISG000010	AMISG000010 uncharacterized protein	
AMISG000011	AMIST000017|AMIST000018	AMISP000017|AMISP000018	MARK3	MAP/microtubule affinity-regulating kinase 3	
AMISG000012	AMIST000019|AMIST000020	AMISP000019|AMISP000020	AMISG000012	AMISG000012 uncharacterized protein	
AMISG000013	AMIST000021|AMIST000022	AMISP000021|AMISP000022	TRMT61A	tRNA methyltransferase 61 homolog A (S. cerevisiae)	
AMISG000014	AMIST000023	AMISP000023	BAG5	BCL2-associated athanogene 5	
AMISG000015	AMIST000024|AMIST000025	AMISP000024|AMISP000025	APOPT1	apoptogenic 1	
AMISG000016	AMIST000026|AMIST000027|AMIST000028	AMISP000026|AMISP000027|AMISP000028	KLC1	kinesin light chain 1	
AMISG000017	AMIST000029|AMIST000030	AMISP000029|AMISP000030	XRCC3	X-ray repair complementing defective repair in Chinese hamster cells 3	
AMISG000018	AMIST000031|AMIST000032	AMISP000031|AMISP000032	ZFYVE21	zinc finger	
AMISG000019	AMIST000033|AMIST000034|AMIST000035|AMIST000036	AMISP000033|AMISP000034|AMISP000035|AMISP000036	PPP1R13B	protein phosphatase 1	
