ac_gene_id	length_ac
ENSACAG00000000002	2097
ENSACAG00000000003	717
ENSACAG00000000004	399
ENSACAG00000000006	6402
ENSACAG00000000007	8822
ENSACAG00000000008	171
ENSACAG00000000009	3190
ENSACAG00000000010	3395
ENSACAG00000000011	1090
ENSACAG00000000012	1952
ENSACAG00000000013	2142
ENSACAG00000000014	1917
ENSACAG00000000015	6679
ENSACAG00000000016	1683
ENSACAG00000000017	737
ENSACAG00000000018	1894
ENSACAG00000000019	7679
ENSACAG00000000020	822
ENSACAG00000000021	1222
ENSACAG00000000022	2514
ENSACAG00000000024	2268
ENSACAG00000000025	416
ENSACAG00000000026	612
ENSACAG00000000027	132
ENSACAG00000000028	8676
ENSACAG00000000029	564
ENSACAG00000000030	2109
ENSACAG00000000031	730
ENSACAG00000000032	3509
ENSACAG00000000033	6288
ENSACAG00000000034	5091
ENSACAG00000000035	3835
ENSACAG00000000036	3805
ENSACAG00000000037	3562
ENSACAG00000000038	1425
ENSACAG00000000039	3175
ENSACAG00000000040	363
ENSACAG00000000041	4473
ENSACAG00000000042	426
ENSACAG00000000043	8639
ENSACAG00000000044	2506
ENSACAG00000000045	8787
ENSACAG00000000046	1407
ENSACAG00000000047	1182
ENSACAG00000000048	5659
ENSACAG00000000051	2613
ENSACAG00000000052	10511
ENSACAG00000000053	3490
ENSACAG00000000054	4724
ENSACAG00000000055	3198
ENSACAG00000000057	3612
ENSACAG00000000058	1428
ENSACAG00000000059	3443
ENSACAG00000000060	4223
ENSACAG00000000061	1169
ENSACAG00000000062	1420
ENSACAG00000000063	3013
ENSACAG00000000064	2355
ENSACAG00000000065	1083
ENSACAG00000000066	4141
ENSACAG00000000067	2607
ENSACAG00000000068	4263
ENSACAG00000000070	5071
ENSACAG00000000071	864
ENSACAG00000000073	2493
ENSACAG00000000074	4265
ENSACAG00000000075	405
ENSACAG00000000076	450
ENSACAG00000000077	3480
ENSACAG00000000079	1227
ENSACAG00000000080	4422
ENSACAG00000000081	647
ENSACAG00000000082	1869
ENSACAG00000000083	482
ENSACAG00000000084	2297
ENSACAG00000000085	3839
ENSACAG00000000086	2891
ENSACAG00000000087	486
ENSACAG00000000088	8925
ENSACAG00000000089	5858
ENSACAG00000000090	1509
ENSACAG00000000091	3564
ENSACAG00000000092	2541
ENSACAG00000000094	998
ENSACAG00000000095	3615.5
ENSACAG00000000097	4330
ENSACAG00000000098	2112
ENSACAG00000000099	1539
ENSACAG00000000100	2113
ENSACAG00000000101	777
ENSACAG00000000102	13977
ENSACAG00000000103	645
ENSACAG00000000106	7371
ENSACAG00000000107	1455
ENSACAG00000000108	7665
ENSACAG00000000109	1390
ENSACAG00000000111	276
ENSACAG00000000112	2354
ENSACAG00000000113	255
ENSACAG00000000114	633
ENSACAG00000000115	1419
ENSACAG00000000116	273
ENSACAG00000000118	672
ENSACAG00000000119	2654
ENSACAG00000000120	4557
ENSACAG00000000122	1590
ENSACAG00000000124	2122
ENSACAG00000000125	1026
ENSACAG00000000126	1235
ENSACAG00000000128	6911
ENSACAG00000000129	1416
ENSACAG00000000130	1947
ENSACAG00000000131	735
ENSACAG00000000132	6401
ENSACAG00000000133	945
ENSACAG00000000135	915
ENSACAG00000000136	2428
ENSACAG00000000139	1452
ENSACAG00000000140	1119
ENSACAG00000000141	2238
ENSACAG00000000144	3523
ENSACAG00000000145	102
ENSACAG00000000146	3015
ENSACAG00000000150	2034
ENSACAG00000000151	6101
ENSACAG00000000152	2430
ENSACAG00000000153	2518
ENSACAG00000000154	4712
ENSACAG00000000155	2451
ENSACAG00000000156	6473
ENSACAG00000000157	1244
ENSACAG00000000159	2004
ENSACAG00000000160	4775
ENSACAG00000000163	763
ENSACAG00000000164	7411
ENSACAG00000000165	3838
ENSACAG00000000166	526
ENSACAG00000000167	4401
ENSACAG00000000168	8132
ENSACAG00000000169	2340
ENSACAG00000000170	2642
ENSACAG00000000171	1483
ENSACAG00000000173	2050
ENSACAG00000000175	2378
ENSACAG00000000176	4822
ENSACAG00000000177	5081
ENSACAG00000000178	3361
ENSACAG00000000179	1717
ENSACAG00000000180	888
ENSACAG00000000181	819
ENSACAG00000000182	1488
ENSACAG00000000184	996
ENSACAG00000000185	912
ENSACAG00000000186	1531
ENSACAG00000000187	3186
ENSACAG00000000188	2034
ENSACAG00000000189	1101
ENSACAG00000000190	1346
ENSACAG00000000191	492
ENSACAG00000000192	2092
ENSACAG00000000193	1374
ENSACAG00000000194	357
ENSACAG00000000195	8462
ENSACAG00000000197	402
ENSACAG00000000198	4270
ENSACAG00000000199	2195
ENSACAG00000000200	1176
ENSACAG00000000201	3849
ENSACAG00000000202	1866
