am_gene_id	length_am
AMISG000001	3511
AMISG000002	2033
AMISG000003	1639.5
AMISG000004	1601
AMISG000005	1680
AMISG000006	703
AMISG000007	1137.5
AMISG000008	3742
AMISG000009	1848
AMISG000010	722
AMISG000011	2422
AMISG000012	1194
AMISG000013	1285
AMISG000014	1505
AMISG000015	1368.5
AMISG000016	2244
AMISG000017	1294
AMISG000018	1533.5
AMISG000019	3317
AMISG000020	1031
AMISG000021	4574
AMISG000022	1597
AMISG000023	984
AMISG000024	1405
AMISG000025	845
AMISG000026	2797
AMISG000027	2385
AMISG000028	819.5
AMISG000029	962
AMISG000030	828
AMISG000031	1216
AMISG000032	1027
AMISG000033	2321.5
AMISG000034	626
AMISG000035	926
AMISG000036	4370
AMISG000037	1063
AMISG000038	1012
AMISG000039	1681
AMISG000040	2312
AMISG000041	702
AMISG000042	1696
AMISG000043	1339
AMISG000044	4870
AMISG000045	6755
AMISG000046	570
AMISG000047	3706
AMISG000048	3223.5
AMISG000049	1283.5
AMISG000050	2019.5
AMISG000051	964
AMISG000052	1488
AMISG000053	1667
AMISG000054	767
AMISG000055	774
AMISG000056	2625
AMISG000057	1654
AMISG000058	4683
AMISG000059	682
AMISG000060	1652
AMISG000061	3007
AMISG000062	2078
AMISG000063	505
AMISG000064	738
AMISG000065	774
AMISG000066	783
AMISG000067	1000
AMISG000068	4932
AMISG000069	2387
AMISG000070	2981.5
AMISG000071	1000
AMISG000072	3829
AMISG000073	489
AMISG000074	663
AMISG000075	2273
AMISG000076	1418
AMISG000077	2665.5
AMISG000078	1115
AMISG000079	1875
AMISG000080	1264
AMISG000081	1139
AMISG000082	1647
AMISG000083	1865.5
AMISG000084	3615
AMISG000085	2405.5
AMISG000086	642
AMISG000087	708
AMISG000088	8405
AMISG000089	933
AMISG000090	5724
AMISG000091	1255
AMISG000092	1016.5
AMISG000093	6023
AMISG000094	955
AMISG000095	1790
AMISG000096	2454
AMISG000097	2753
AMISG000098	2361
AMISG000099	1534
AMISG000100	978.5
AMISG000101	1414
AMISG000102	1928
AMISG000103	2755
AMISG000104	1397
AMISG000105	2366
AMISG000106	2917
AMISG000107	761
AMISG000108	1274
AMISG000109	1970
AMISG000110	1850
AMISG000111	987
AMISG000112	1832
AMISG000113	1447.5
AMISG000114	1763
AMISG000115	2551
AMISG000116	977
AMISG000117	2743
AMISG000118	1192
AMISG000119	3508
AMISG000120	652
AMISG000121	829.5
AMISG000122	1795
AMISG000123	1732.5
AMISG000124	2016
AMISG000125	2250.5
AMISG000126	996
AMISG000127	1310
AMISG000128	725
AMISG000129	3125
AMISG000130	1001
AMISG000131	2647
AMISG000132	944
AMISG000133	2253
AMISG000134	2141
AMISG000135	2404
AMISG000136	1354
AMISG000137	2228
AMISG000138	1052
AMISG000139	2554
AMISG000140	6231
AMISG000141	710
AMISG000142	8855
AMISG000143	811
AMISG000144	2151
AMISG000145	1516
AMISG000146	7097
AMISG000147	1491
AMISG000148	1342
AMISG000149	2975
AMISG000150	476
AMISG000151	1148
AMISG000152	1617
AMISG000153	735
AMISG000154	1076
AMISG000155	1801
AMISG000156	440
AMISG000157	2972
AMISG000158	329
AMISG000159	1246.5
AMISG000160	1016
AMISG000161	2205.5
AMISG000162	2196
AMISG000163	1924
AMISG000164	4391.5
AMISG000165	1732
AMISG000166	2862
AMISG000167	496
AMISG000168	1674
AMISG000169	1645
AMISG000170	621
AMISG000171	4273
AMISG000172	867
AMISG000173	1673
AMISG000174	1262
AMISG000175	497
AMISG000176	1941
AMISG000177	2055
AMISG000178	2458
AMISG000179	1090
AMISG000180	1545
AMISG000181	1332
AMISG000182	2947
AMISG000183	4203
AMISG000184	2758
AMISG000185	395
AMISG000186	1383
AMISG000187	1396.5
AMISG000188	1628.5
AMISG000189	924
AMISG000190	1983
AMISG000191	2482
AMISG000192	1997
AMISG000193	1629
AMISG000194	993
AMISG000195	2233
AMISG000196	684
AMISG000197	929
AMISG000198	941
AMISG000199	458
AMISG000200	886
AMISG000201	840
AMISG000202	820
AMISG000203	767
AMISG000204	3242
AMISG000205	3448
AMISG000206	688
AMISG000207	820
AMISG000208	1123
AMISG000209	961
AMISG000210	514
AMISG000211	1590
AMISG000212	3070
AMISG000213	1249
AMISG000214	1068
AMISG000215	742
AMISG000216	1122
AMISG000217	2683
AMISG000218	2989
AMISG000219	1407
AMISG000220	6384
AMISG000221	3786
AMISG000222	1249
AMISG000223	1866.5
AMISG000224	2762
AMISG000225	2057.5
AMISG000226	833
AMISG000227	1233
AMISG000228	5536
AMISG000229	1327
AMISG000230	3036
AMISG000231	1718
AMISG000232	2553
AMISG000233	497
AMISG000234	417
AMISG000235	1235
AMISG000236	1584
AMISG000237	1654
AMISG000238	1084
AMISG000239	4600
AMISG000240	2705
AMISG000241	2615
AMISG000242	1810
AMISG000243	902
AMISG000244	1685.5
AMISG000245	1350
AMISG000246	2559
AMISG000247	1023
AMISG000248	2232
AMISG000249	3792.5
AMISG000250	2235
AMISG000251	1182
AMISG000252	1486.5
AMISG000253	1452
AMISG000254	6358
AMISG000255	931
AMISG000256	1146
AMISG000257	3604.5
AMISG000258	1421
AMISG000259	740
AMISG000260	1295
AMISG000261	4301
AMISG000262	508
AMISG000263	1046
AMISG000264	865
AMISG000265	1744
AMISG000266	1496
AMISG000267	2139
AMISG000268	4764.5
AMISG000269	2187
AMISG000270	5279
AMISG000271	3587
AMISG000272	1493
AMISG000273	767
AMISG000274	1806
AMISG000275	1064.5
AMISG000276	482
AMISG000277	461
AMISG000278	1453
AMISG000279	750
AMISG000280	688
AMISG000281	496
AMISG000282	420
AMISG000283	7559
AMISG000284	1893
AMISG000285	1482
AMISG000286	1753
AMISG000287	1433
AMISG000288	1320
AMISG000289	2624
AMISG000290	597
AMISG000291	556
AMISG000292	2457
AMISG000293	1661
AMISG000294	729
AMISG000295	1363
AMISG000296	831
AMISG000297	1412
AMISG000298	393
AMISG000299	648
AMISG000300	2343
AMISG000301	2638
AMISG000302	1267
AMISG000303	3118.5
AMISG000304	2091
AMISG000305	2442
AMISG000306	1154.5
AMISG000307	2617
AMISG000308	1472
AMISG000309	978
AMISG000310	8357
AMISG000311	1887
AMISG000312	1664
AMISG000313	2297
AMISG000314	2173
AMISG000315	1453
AMISG000316	1575
AMISG000317	3139.5
AMISG000318	1325.5
AMISG000319	1945
AMISG000320	1401
AMISG000321	1711
AMISG000322	2311
AMISG000323	1320.5
AMISG000324	1806
AMISG000325	2824
AMISG000326	1648
AMISG000327	2001
AMISG000328	601
AMISG000329	1862
AMISG000330	1780.5
AMISG000331	1212
AMISG000332	1046
AMISG000333	3545.5
AMISG000334	1917
AMISG000335	860
AMISG000336	3260
AMISG000337	812
AMISG000338	2407
AMISG000339	1760
AMISG000340	2428
AMISG000341	1307
AMISG000342	586
AMISG000343	376
AMISG000344	2011
AMISG000345	1000
AMISG000346	714
AMISG000347	4113
AMISG000348	2893
AMISG000349	1071
AMISG000350	1062
AMISG000351	1396
AMISG000352	8813.5
AMISG000353	4187
AMISG000354	2278
AMISG000355	1108
AMISG000356	1202
AMISG000357	1076
AMISG000358	1903
AMISG000359	574
AMISG000360	1804
AMISG000361	1483
AMISG000362	11134
AMISG000363	1111
AMISG000364	807
AMISG000365	1417.5
AMISG000366	564
AMISG000367	1254
AMISG000368	4433
AMISG000369	1003
AMISG000370	1763
AMISG000371	1358
AMISG000372	771
AMISG000373	884
AMISG000374	453
AMISG000375	5826
AMISG000376	1911
AMISG000377	2021
AMISG000378	5067.5
AMISG000379	1094
AMISG000380	1286
AMISG000381	1809
AMISG000382	3427
AMISG000383	4211
AMISG000384	7101
AMISG000385	5923
AMISG000386	2285
AMISG000387	1117
AMISG000388	759
AMISG000389	1011
AMISG000390	1574
AMISG000391	2148
AMISG000392	653
AMISG000393	1938
AMISG000394	1227
AMISG000395	1067
AMISG000396	3215
AMISG000397	748
AMISG000398	970
AMISG000399	3320
AMISG000400	615
AMISG000401	563
AMISG000402	1184
AMISG000403	1342
AMISG000404	1174
AMISG000405	1471.5
AMISG000406	1995
AMISG000407	2495.5
AMISG000408	1747
AMISG000409	599
AMISG000410	1387
AMISG000411	1484
AMISG000412	7482
AMISG000413	933
AMISG000414	1165
AMISG000415	685
AMISG000416	1553
AMISG000417	2408
AMISG000418	1824
AMISG000419	761.5
AMISG000420	1860
AMISG000421	5714
AMISG000422	1555
AMISG000423	1005
AMISG000424	3034
AMISG000425	599
AMISG000426	1487
AMISG000427	1208
AMISG000428	1847
AMISG000429	622
AMISG000430	1459
AMISG000431	1099
AMISG000432	1646
AMISG000433	1384
AMISG000434	547
AMISG000435	1004
AMISG000436	1850
AMISG000437	555
AMISG000438	4069
AMISG000439	3745
AMISG000440	1591
AMISG000441	2503
AMISG000442	682
AMISG000443	1318
AMISG000444	1469
AMISG000445	724
AMISG000446	4261.5
AMISG000447	2014
AMISG000448	2080
AMISG000449	2096
AMISG000450	1638
AMISG000451	1899
AMISG000452	420
AMISG000453	668
AMISG000454	868
AMISG000455	789
AMISG000456	1910
AMISG000457	764
AMISG000458	1575
AMISG000459	3777
AMISG000460	2157
AMISG000461	1643.5
AMISG000462	1480
AMISG000463	340
AMISG000464	1778
AMISG000465	2189
AMISG000466	1698
AMISG000467	3573.5
AMISG000468	813
AMISG000469	2383.5
AMISG000470	1772
AMISG000471	567
AMISG000472	843
AMISG000473	1820
AMISG000474	3264
AMISG000475	1753
AMISG000476	1411
AMISG000477	695
AMISG000478	2555.5
AMISG000479	994.5
AMISG000480	1947
AMISG000481	3113
AMISG000482	1226
AMISG000483	2805
AMISG000484	3315
AMISG000485	5940
AMISG000486	801
AMISG000487	2927
AMISG000488	1086
AMISG000489	1330
AMISG000490	1147
AMISG000491	1321
AMISG000492	1093
AMISG000493	1201
AMISG000494	2278
AMISG000495	2564
AMISG000496	826
AMISG000497	1013
AMISG000498	1329
AMISG000499	1820
AMISG000500	3406.5
AMISG000501	3940.5
AMISG000502	711
AMISG000503	9844
AMISG000504	5527
AMISG000505	1648
AMISG000506	2308
AMISG000507	540
AMISG000508	2681
AMISG000509	9305
AMISG000510	2867
AMISG000511	1529
AMISG000512	1381
AMISG000513	2437
AMISG000514	2970
AMISG000515	1368
AMISG000516	2041
AMISG000517	2743
AMISG000518	1681
AMISG000519	1959
AMISG000520	784.5
AMISG000521	843
AMISG000522	1701.5
AMISG000523	1236
AMISG000524	460
AMISG000525	2014
AMISG000526	3130.5
AMISG000527	1167
AMISG000528	3108
AMISG000529	1306
AMISG000530	1629
AMISG000531	618.5
AMISG000532	536
AMISG000533	778
AMISG000534	1301
AMISG000535	1274
AMISG000536	1415
AMISG000537	1229
AMISG000538	9000
AMISG000539	577
AMISG000540	1049
AMISG000541	13061
AMISG000542	626
AMISG000543	1504
AMISG000544	938
AMISG000545	2427
AMISG000546	481
AMISG000547	493
AMISG000548	2116
AMISG000549	1710
AMISG000550	1837
AMISG000551	3777
AMISG000552	676
AMISG000553	1595.5
AMISG000554	605
AMISG000555	384
AMISG000556	3599
AMISG000557	3335
AMISG000558	2736
AMISG000559	983
AMISG000560	484
AMISG000561	1290.5
AMISG000562	1216
AMISG000563	2430
AMISG000564	2079
AMISG000565	572
AMISG000566	520
AMISG000567	1140
AMISG000568	1456
AMISG000569	2882
AMISG000570	4810.5
AMISG000571	3260
AMISG000572	1451
AMISG000573	5170
AMISG000574	1802
AMISG000575	986.5
AMISG000576	1005
AMISG000577	3656
AMISG000578	3826.5
AMISG000579	2342
AMISG000580	2423
AMISG000581	1416
AMISG000582	1994
AMISG000583	1498
AMISG000584	1563
AMISG000585	1701
AMISG000586	2179
AMISG000587	2047
AMISG000588	11730
AMISG000589	2251
AMISG000590	479
AMISG000591	1930
