Ensembl Gene ID	Transcript length (including UTRs and CDS)	Associated Gene Name
ENSGALG00000041922	69	
ENSGALG00000036956	976	
ENSGALG00000032059	73	
ENSGALG00000043598	1621	
ENSGALG00000040296	74	
ENSGALG00000042750	975	MT-ND1
ENSGALG00000035975	72	
ENSGALG00000029193	71	
ENSGALG00000038760	69	
ENSGALG00000043768	1041	MT-ND2
ENSGALG00000035685	76	
ENSGALG00000035392	69	
ENSGALG00000033139	73	
ENSGALG00000034813	66	
ENSGALG00000037641	71	
ENSGALG00000032142	1548	MT-CO1
ENSGALG00000033462	135	
ENSGALG00000031197	69	
ENSGALG00000032456	684	COII
ENSGALG00000038283	68	
ENSGALG00000032465	165	MT-ATP8
ENSGALG00000041091	684	MT-ATP6
ENSGALG00000035334	784	COX3
ENSGALG00000038243	68	
ENSGALG00000030436	351	ND3
ENSGALG00000037369	68	
ENSGALG00000042478	297	ND4L
ENSGALG00000036229	1378	MT-ND4
ENSGALG00000042903	69	
ENSGALG00000034022	65	
ENSGALG00000036970	71	
ENSGALG00000029500	1818	ND5
ENSGALG00000032079	1143	MT-CYB
ENSGALG00000032370	69	
ENSGALG00000042677	70	
ENSGALG00000037838	522	ND6
ENSGALG00000039249	68	
ENSGALG00000029844	963	
ENSGALG00000032876	1315	
ENSGALG00000030712	3087	
ENSGALG00000034786	477	
ENSGALG00000038856	2694	
ENSGALG00000038856	2622	
ENSGALG00000035724	477	
ENSGALG00000037956	1119	
ENSGALG00000033610	270	
ENSGALG00000034068	744	
ENSGALG00000041887	2222	
ENSGALG00000038298	1415	
ENSGALG00000031682	456	
ENSGALG00000040703	1785	
ENSGALG00000035838	1925	
ENSGALG00000035838	1458	
ENSGALG00000041767	1524	
ENSGALG00000029594	1568	
ENSGALG00000039147	1841	
ENSGALG00000039147	1642	
ENSGALG00000041471	1962	
ENSGALG00000033090	2475	VDR
ENSGALG00000033090	2458	VDR
ENSGALG00000006309	1424	SMAD5
ENSGALG00000006309	1395	SMAD5
ENSGALG00000041201	1176	
ENSGALG00000031014	7965	
ENSGALG00000039230	1889	
ENSGALG00000039230	1889	
ENSGALG00000039230	1902	
ENSGALG00000039230	937	
ENSGALG00000039230	937	
ENSGALG00000030636	829	
ENSGALG00000034856	3712	
ENSGALG00000004398	4172	CARD11
ENSGALG00000032709	952	
ENSGALG00000037688	1473	C12orf10
ENSGALG00000035527	700	
ENSGALG00000029645	498	
ENSGALG00000037835	1762	PCOLCE
ENSGALG00000042970	624	
ENSGALG00000029905	2918	
ENSGALG00000029905	2313	
ENSGALG00000029429	4173	TGFBI
ENSGALG00000029429	2034	TGFBI
ENSGALG00000031492	2138	
ENSGALG00000032843	1796	AAAS
ENSGALG00000032843	1752	AAAS
ENSGALG00000041230	795	RPL35A
ENSGALG00000041230	277	RPL35A
ENSGALG00000041230	387	RPL35A
ENSGALG00000031824	3451	HOOK2
ENSGALG00000031824	1089	HOOK2
ENSGALG00000036602	1312	
ENSGALG00000004420	7132	SDK1
ENSGALG00000004420	6768	SDK1
ENSGALG00000039167	1011	
ENSGALG00000040701	282	
ENSGALG00000041009	2356	
ENSGALG00000032509	1941	
ENSGALG00000031167	1299	
ENSGALG00000038888	2397	
ENSGALG00000038888	2324	
ENSGALG00000006323	1041	LECT2
ENSGALG00000006323	898	LECT2
ENSGALG00000004116	3288	TRPM8
ENSGALG00000004116	3258	TRPM8
ENSGALG00000030015	1005	
ENSGALG00000037704	2871	
ENSGALG00000037704	1978	
ENSGALG00000037704	1792	
ENSGALG00000040055	3013	
ENSGALG00000040055	2912	
ENSGALG00000040055	2322	
ENSGALG00000029209	1039	
ENSGALG00000008280	1540	PMPCB
ENSGALG00000008280	1735	PMPCB
ENSGALG00000043413	1707	
ENSGALG00000006327	3594	FBXL21
ENSGALG00000006327	3417	FBXL21
ENSGALG00000038876	2209	
ENSGALG00000038876	2089	
ENSGALG00000038876	1300	
ENSGALG00000038876	663	
ENSGALG00000042236	4981	
ENSGALG00000041769	711	CTDNEP1
ENSGALG00000032174	2021	
ENSGALG00000030138	3585	
ENSGALG00000016254	1283	OTC
ENSGALG00000004129	960	SPP2
ENSGALG00000004129	835	SPP2
ENSGALG00000004436	1789	
ENSGALG00000037126	273	
ENSGALG00000035297	381	GABARAP
ENSGALG00000006329	872	IL9
ENSGALG00000006329	390	IL9
ENSGALG00000043820	1344	
ENSGALG00000021021	579	ARL4C
ENSGALG00000031816	1013	
ENSGALG00000038595	1336	POLR2I
ENSGALG00000036284	2226	RPGR
ENSGALG00000004140	2895	SH3BP4
ENSGALG00000041100	342	
ENSGALG00000004449	1637	CYP3A7
ENSGALG00000041933	986	NUDT16
ENSGALG00000006341	928	
ENSGALG00000032842	2115	
ENSGALG00000038625	342	
ENSGALG00000040736	1414	
ENSGALG00000004196	1599	
ENSGALG00000008249	1991	DNAJC2
ENSGALG00000006346	1534	CXCL14
ENSGALG00000030909	342	
ENSGALG00000004460	2134	FOXK1
ENSGALG00000035521	1473	
ENSGALG00000032405	2192	
ENSGALG00000032405	1638	
ENSGALG00000031157	582	
ENSGALG00000038822	2181	
ENSGALG00000043100	1782	SRPX
ENSGALG00000032644	1338	
ENSGALG00000029692	1277	NEUROG1
ENSGALG00000030235	918	
ENSGALG00000032307	2280	DDX23
ENSGALG00000031181	273	
ENSGALG00000036951	924	
ENSGALG00000043130	987	
ENSGALG00000038030	1883	
ENSGALG00000008236	1592	PSMC2
ENSGALG00000035396	1674	
ENSGALG00000023761	945	
ENSGALG00000023761	399	
ENSGALG00000013247	1236	CCDC83
ENSGALG00000040565	654	
ENSGALG00000012953	3018	IPO8
ENSGALG00000012953	2946	IPO8
ENSGALG00000012953	2913	IPO8
ENSGALG00000042026	663	
ENSGALG00000042026	660	
ENSGALG00000040528	2436	AP5Z1
ENSGALG00000040528	2639	AP5Z1
ENSGALG00000040528	2257	AP5Z1
ENSGALG00000040528	1683	AP5Z1
ENSGALG00000043121	3094	
ENSGALG00000043121	5895	
ENSGALG00000043121	5378	
ENSGALG00000043121	5378	
ENSGALG00000043121	5294	
ENSGALG00000043121	5177	
ENSGALG00000043121	5597	
ENSGALG00000037925	699	RND1
ENSGALG00000003807	1286	GPN3
ENSGALG00000003807	1324	GPN3
ENSGALG00000039037	906	
ENSGALG00000004228	3795	USP40
ENSGALG00000040141	1732	H2AFY
ENSGALG00000040141	1794	H2AFY
ENSGALG00000040141	1695	H2AFY
ENSGALG00000040141	657	H2AFY
ENSGALG00000040141	1019	H2AFY
ENSGALG00000008222	2591	SLC26A5
ENSGALG00000040480	982	mage
ENSGALG00000040480	827	mage
ENSGALG00000036392	1830	
ENSGALG00000043211	657	
ENSGALG00000038922	899	
ENSGALG00000003820	1089	ARPC3
ENSGALG00000043628	726	UBE2M
ENSGALG00000004236	1905	TRAF3IP1
ENSGALG00000014060	2288	EED
ENSGALG00000014060	1402	EED
ENSGALG00000016258	2256	SYTL5
ENSGALG00000016258	2241	SYTL5
ENSGALG00000016258	2139	SYTL5
ENSGALG00000016258	1950	SYTL5
ENSGALG00000032385	1487	PFKFB1
ENSGALG00000036800	2259	CHMP2A
ENSGALG00000030917	3717	CCDC65
ENSGALG00000003826	1626	ANAPC7
ENSGALG00000004272	1011	ASB1
ENSGALG00000032757	2408	
ENSGALG00000032757	1984	
ENSGALG00000032757	1110	
ENSGALG00000032757	984	
ENSGALG00000042932	312	
ENSGALG00000001094	3213	ADGRD2
ENSGALG00000035060	429	FKBP11
ENSGALG00000030237	992	PITX1
ENSGALG00000030237	1089	PITX1
ENSGALG00000030237	1245	PITX1
ENSGALG00000032391	1230	
ENSGALG00000040068	1312	
ENSGALG00000040068	1140	
ENSGALG00000004274	1598	TWIST2
ENSGALG00000008193	11411	RELN
ENSGALG00000031013	1188	DHDH
ENSGALG00000030004	2955	
ENSGALG00000037601	3448	TBC1D25
ENSGALG00000001823	835	C1H11ORF73
ENSGALG00000001823	946	C1H11ORF73
ENSGALG00000034394	333	
ENSGALG00000016259	2452	DYNLT3
ENSGALG00000043009	1068	WNT1
ENSGALG00000006367	523	PCBD2
ENSGALG00000006367	499	PCBD2
ENSGALG00000001080	3252	NR5A1
ENSGALG00000012297	3459	GRM1
ENSGALG00000012297	2736	GRM1
ENSGALG00000012297	2697	GRM1
ENSGALG00000012956	2835	TMTC1
ENSGALG00000012956	2529	TMTC1
ENSGALG00000012956	1152	TMTC1
ENSGALG00000032898	1029	
ENSGALG00000041676	666	
ENSGALG00000041676	369	
ENSGALG00000043066	1029	
ENSGALG00000040276	1420	RUNX2
ENSGALG00000039022	3263	
ENSGALG00000039022	3178	
ENSGALG00000032287	3111	ATP2A2
ENSGALG00000032287	3087	ATP2A2
ENSGALG00000004504	3174	RADIL
ENSGALG00000004504	3078	RADIL
ENSGALG00000004504	2958	RADIL
ENSGALG00000004504	2556	RADIL
ENSGALG00000037819	1290	
ENSGALG00000037819	1200	
ENSGALG00000042984	1618	
ENSGALG00000001073	1453	NR6A1
ENSGALG00000001073	1332	NR6A1
ENSGALG00000001073	1442	NR6A1
ENSGALG00000039781	1387	TXNDC15
ENSGALG00000039781	786	TXNDC15
ENSGALG00000039781	729	TXNDC15
ENSGALG00000034568	4312	
ENSGALG00000034568	4279	
ENSGALG00000029845	2880	
ENSGALG00000029845	2799	
ENSGALG00000029845	2532	
ENSGALG00000012300	2209	RAB32
ENSGALG00000008175	3150	ORC5
ENSGALG00000016707	1170	CLIC5
ENSGALG00000016707	756	CLIC5
ENSGALG00000016707	210	CLIC5
ENSGALG00000038550	985	
ENSGALG00000040039	1299	
ENSGALG00000012958	1492	
ENSGALG00000039029	936	
ENSGALG00000037903	411	
ENSGALG00000033917	1030	
ENSGALG00000012969	1467	
ENSGALG00000004288	4298	HDAC4
ENSGALG00000004288	3741	HDAC4
ENSGALG00000004288	3491	HDAC4
ENSGALG00000043815	237	
ENSGALG00000006371	486	C5orf24
ENSGALG00000001048	2226	OLFML2A
ENSGALG00000038589	480	ABHD14B
ENSGALG00000038589	489	ABHD14B
ENSGALG00000039402	1265	
ENSGALG00000030912	1268	
ENSGALG00000016261	1762	CYBB
ENSGALG00000016261	1716	CYBB
ENSGALG00000016261	1713	CYBB
ENSGALG00000016261	1719	CYBB
ENSGALG00000003854	3748	IFT81
ENSGALG00000043367	997	LHFPL3
ENSGALG00000039636	435	
ENSGALG00000012317	4770	
ENSGALG00000016708	1820	ENPP4
ENSGALG00000016708	1597	ENPP4
ENSGALG00000027695	897	PCBP4
ENSGALG00000012974	2064	WASH1
ENSGALG00000036101	6596	ARHGAP35
ENSGALG00000036101	4413	ARHGAP35
ENSGALG00000035147	1467	
ENSGALG00000035677	2038	RPL35
ENSGALG00000035677	343	RPL35
ENSGALG00000003863	1725	P2RX7
ENSGALG00000034855	2748	HK2
ENSGALG00000034855	2748	HK2
ENSGALG00000004530	2705	MMD2
ENSGALG00000034130	2963	
ENSGALG00000034130	2025	
ENSGALG00000036302	1443	
ENSGALG00000038624	1302	
ENSGALG00000016709	594	RCAN2
ENSGALG00000039176	987	
ENSGALG00000006404	3132	DDX46
ENSGALG00000004517	2394	PARP3
ENSGALG00000012336	3351	STXBP5
ENSGALG00000016262	2079	XK
ENSGALG00000033966	8025	
ENSGALG00000033966	8004	
ENSGALG00000033966	7977	
ENSGALG00000008167	3842	KMT2E
ENSGALG00000008167	3782	KMT2E
ENSGALG00000008167	3638	KMT2E
ENSGALG00000008167	3705	KMT2E
ENSGALG00000001037	1929	SCAI
ENSGALG00000016265	1384	LANCL3
ENSGALG00000004557	2071	WIPI2
ENSGALG00000034964	1335	SYTL1
ENSGALG00000039941	2190	NIM1K
ENSGALG00000029855	1164	
ENSGALG00000016710	1525	CYP39A1
ENSGALG00000016710	2015	CYP39A1
ENSGALG00000041685	2052	CAPN1
ENSGALG00000041685	1978	CAPN1
ENSGALG00000016266	4707	PRRG1
ENSGALG00000028420	429	SAMD5
ENSGALG00000012975	2772	IQSEC3
ENSGALG00000012975	2829	IQSEC3
ENSGALG00000012975	2262	IQSEC3
ENSGALG00000003901	1917	P2RX4
ENSGALG00000003901	1631	P2RX4
ENSGALG00000004302	3256	NDUFA10
ENSGALG00000042947	1182	
ENSGALG00000033435	4690	
ENSGALG00000033435	5117	
ENSGALG00000040339	740	
ENSGALG00000001025	2690	GOLGA1
ENSGALG00000006411	1299	CAMLG
ENSGALG00000038514	4508	
ENSGALG00000010497	1674	SLC29A4
ENSGALG00000034408	834	
ENSGALG00000035279	330	
ENSGALG00000016713	1883	PLA2G7
ENSGALG00000037821	1269	
ENSGALG00000023742	2689	
ENSGALG00000039288	3301	RBM5
ENSGALG00000039288	3300	RBM5
ENSGALG00000019291	1797	
ENSGALG00000040488	2529	
ENSGALG00000040488	2505	
ENSGALG00000012342	3621	SASH1
ENSGALG00000012342	3579	SASH1
ENSGALG00000012342	3749	SASH1
ENSGALG00000001014	540	ARPC5L
ENSGALG00000042326	2263	
ENSGALG00000042326	1612	
ENSGALG00000040238	420	
ENSGALG00000029965	744	
ENSGALG00000029965	570	
ENSGALG00000034282	2052	LRFN3
ENSGALG00000034282	1908	LRFN3
ENSGALG00000034282	2392	LRFN3
ENSGALG00000040131	2359	CAMKK2
ENSGALG00000031439	6339	
ENSGALG00000031439	6225	
ENSGALG00000006417	3303	SEC24A
ENSGALG00000010334	966	TAS2R7
ENSGALG00000001013	1411	PPP6C
ENSGALG00000019290	1824	SLC6A12
ENSGALG00000037437	1422	EGR3
ENSGALG00000031594	447	
ENSGALG00000017262	2149	NARS2
ENSGALG00000017262	1335	NARS2
ENSGALG00000004322	2898	
ENSGALG00000004322	2895	
ENSGALG00000033033	2346	MEP1A
ENSGALG00000040770	9120	TNRC18
ENSGALG00000040770	8722	TNRC18
ENSGALG00000037569	5131	OPA3
ENSGALG00000031028	300	
ENSGALG00000003245	663	LSM1
ENSGALG00000033911	2505	
ENSGALG00000042210	1290	RABEPK
ENSGALG00000008154	2157	SRPK2
ENSGALG00000008154	2064	SRPK2
ENSGALG00000036445	411	
ENSGALG00000033752	1266	
ENSGALG00000004179	2413	ANAPC5
ENSGALG00000012985	1812	SLC6A13
ENSGALG00000037088	2066	GHR
ENSGALG00000037088	2106	GHR
ENSGALG00000037088	2133	GHR
ENSGALG00000012345	1068	UST
ENSGALG00000039320	1659	
ENSGALG00000032741	369	
ENSGALG00000003254	1125	BAG4
ENSGALG00000003254	330	BAG4
ENSGALG00000030351	1851	ILF3
ENSGALG00000001000	2328	HSPA5
ENSGALG00000035007	3399	USP35
ENSGALG00000012338	1429	BDH2
ENSGALG00000032406	2505	
ENSGALG00000038311	3909	COL18A1
ENSGALG00000039842	3194	STK19
ENSGALG00000039842	3110	STK19
ENSGALG00000012356	2473	TAB2
ENSGALG00000012356	2182	TAB2
ENSGALG00000016719	2839	TNFRSF21
ENSGALG00000016719	1923	TNFRSF21
ENSGALG00000005964	1622	
ENSGALG00000008132	2623	PUS7
